//PARTIDOS.TXT//

1;24;25;5;0
2;9;32;0;1
3;23;28;3;3
4;18;14;0;1
5;11;2;1;0
6;21;8;0;1
7;1;13;1;1
8;7;19;2;0
9;4;30;1;1
10;6;27;0;1
11;12;17;0;1
12;29;16;1;0
13;3;20;3;0
14;31;10;1;2
15;22;26;1;2
16;5;15;1;2
17;24;9;3;1
18;32;25;1;0
19;23;18;1;0
20;28;14;1;0
21;11;21;1;0
22;8;2;1;1
23;1;7;0;3
24;19;13;2;0
25;4;6;2;0
26;-1;-1;-1;-1
27;-1;-1;-1;-1
28;-1;-1;-1;-1
29;-1;-1;-1;-1
30;-1;-1;-1;-1
31;-1;-1;-1;-1
32;-1;-1;-1;-1
33;-1;-1;-1;-1
34;-1;-1;-1;-1
35;-1;-1;-1;-1
36;-1;-1;-1;-1
37;-1;-1;-1;-1
38;-1;-1;-1;-1
39;-1;-1;-1;-1
40;-1;-1;-1;-1
41;-1;-1;-1;-1
42;-1;-1;-1;-1
43;-1;-1;-1;-1
44;-1;-1;-1;-1
45;-1;-1;-1;-1
46;-1;-1;-1;-1
47;-1;-1;-1;-1
48;-1;-1;-1;-1
49;-1;-1;-1;-1
50;-1;-1;-1;-1
51;-1;-1;-1;-1
52;-1;-1;-1;-1
53;-1;-1;-1;-1
54;-1;-1;-1;-1
55;-1;-1;-1;-1
56;-1;-1;-1;-1
57;-1;-1;-1;-1
58;-1;-1;-1;-1
59;-1;-1;-1;-1
60;-1;-1;-1;-1
61;-1;-1;-1;-1
62;-1;-1;-1;-1
63;-1;-1;-1;-1
64;-1;-1;-1;-1
